Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,EFF
Bones McKinney,SF,31,WSC,53.0,0,0,3.5,11.9,.296,0,0,0,3.5,11.9,.296,.296,2.2,2.9,.776,0,0,0.0,1.7,0.0,0.0,0.0,3.5,9.3,0.03586
Dick Mehen,PF,27,WAT,62.0,0,0,5.6,13.3,.420,0,0,0,5.6,13.3,.420,.420,3.2,4.5,.705,0,0,0.0,3.1,0.0,0.0,0.0,3.3,14.4,0.1371
Ed Mikan,C,24,TOT,65.0,0,0,1.4,4.9,.277,0,0,0,1.4,4.9,.277,.277,1.4,1.8,.767,0,0,0.0,0.6,0.0,0.0,0.0,2.2,4.2,0.0139
Ed Mikan,C,24,CHS,21.0,0,0,1.5,6.0,.244,0,0,0,1.5,6.0,.244,.244,2.1,2.8,.776,0,0,0.0,0.7,0.0,0.0,0.0,2.3,5.1,0.0
Ed Mikan,C,24,ROC,44.0,0,0,1.3,4.4,.299,0,0,0,1.3,4.4,.299,.299,1.1,1.4,.758,0,0,0.0,0.6,0.0,0.0,0.0,2.2,3.7,0.02051
George Mikan*,C,25,MNL,68.0,0,0,9.5,23.5,.407,0,0,0,9.5,23.5,.407,.407,8.3,10.7,.779,0,0,0.0,2.9,0.0,0.0,0.0,4.4,27.4,0.2045
Vern Mikkelsen*,PF,21,MNL,68.0,0,0,4.2,10.6,.399,0,0,0,4.2,10.6,.399,.399,3.2,4.2,.752,0,0,0.0,1.8,0.0,0.0,0.0,3.3,11.6,0.0882
Al Miksis,C,21,WAT,8.0,0,0,0.6,2.6,.238,0,0,0,0.6,2.6,.238,.238,2.1,2.6,.810,0,0,0.0,0.5,0.0,0.0,0.0,2.8,3.4,0.0
Murray Mitchell,C,26,AND,2.0,0,0,0.5,1.5,.333,0,0,0,0.5,1.5,.333,.333,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0
Jack Nichols,PF,23,TOT,67.0,0,0,4.6,12.7,.366,0,0,0,4.6,12.7,.366,.366,3.9,5.1,.753,0,0,0.0,2.1,0.0,0.0,0.0,2.7,13.1,0.088
Jack Nichols,PF,23,WSC,49.0,0,0,4.7,12.8,.362,0,0,0,4.7,12.8,.362,.362,3.8,5.2,.736,0,0,0.0,1.7,0.0,0.0,0.0,2.4,13.1,0.1084
Jack Nichols,PF,23,TRI,18.0,0,0,4.6,12.2,.374,0,0,0,4.6,12.2,.374,.374,4.0,5.0,.800,0,0,0.0,3.4,0.0,0.0,0.0,3.4,13.1,0.0
Jim Nolan,C,22,PHW,5.0,0,0,0.8,4.2,.190,0,0,0,0.8,4.2,.190,.190,0.0,0.0,0,0,0,0.0,0.8,0.0,0.0,0.0,2.8,1.6,0.0
Don Otten,C,28,TOT,64.0,0,0,3.8,10.1,.373,0,0,0,3.8,10.1,.373,.373,5.3,7.2,.737,0,0,0.0,1.4,0.0,0.0,0.0,3.8,12.9,0.0953
Don Otten,C,28,TRI,46.0,0,0,3.6,9.8,.366,0,0,0,3.6,9.8,.366,.366,4.9,6.8,.717,0,0,0.0,1.6,0.0,0.0,0.0,3.9,12.1,0.1219
Don Otten,C,28,WSC,18.0,0,0,4.3,10.9,.391,0,0,0,4.3,10.9,.391,.391,6.4,8.2,.777,0,0,0.0,1.0,0.0,0.0,0.0,3.7,14.9,0.0
Red Owens,SG,24,TOT,61.0,0,0,1.4,4.7,.299,0,0,0,1.4,4.7,.299,.299,1.1,1.7,.673,0,0,0.0,1.2,0.0,0.0,0.0,2.5,3.9,0.01971
Red Owens,SG,24,TRI,26.0,0,0,1.6,5.3,.307,0,0,0,1.6,5.3,.307,.307,1.5,2.3,.678,0,0,0.0,1.2,0.0,0.0,0.0,2.5,4.8,0.0
Red Owens,SG,24,AND,35.0,0,0,1.3,4.3,.291,0,0,0,1.3,4.3,.291,.291,0.8,1.2,.667,0,0,0.0,1.2,0.0,0.0,0.0,2.5,3.3,0.0314
Johnny Payak,SG,23,TOT,52.0,0,0,1.9,6.4,.296,0,0,0,1.9,6.4,.296,.296,2.3,3.3,.699,0,0,0.0,1.7,0.0,0.0,0.0,2.2,6.1,0.04425
Johnny Payak,SG,23,PHW,17.0,0,0,0.7,1.9,.375,0,0,0,0.7,1.9,.375,.375,0.8,1.2,.619,0,0,0.0,0.5,0.0,0.0,0.0,1.1,2.2,0.0
Johnny Payak,SG,23,WAT,35.0,0,0,2.5,8.5,.288,0,0,0,2.5,8.5,.288,.288,3.1,4.3,.711,0,0,0.0,2.2,0.0,0.0,0.0,2.7,8.0,0.08575
Ed Peterson,C,25,SYR,62.0,0,0,2.7,6.3,.428,0,0,0,2.7,6.3,.428,.428,1.8,3.0,.600,0,0,0.0,0.5,0.0,0.0,0.0,3.2,7.2,0.04675
Jim Pollard*,SF,27,MNL,66.0,0,0,6.0,17.3,.346,0,0,0,6.0,17.3,.346,.346,2.8,3.7,.764,0,0,0.0,3.8,0.0,0.0,0.0,2.2,14.7,0.0955
John Pritchard,C,23,WAT,7.0,0,0,1.3,4.1,.310,0,0,0,1.3,4.1,.310,.310,0.6,1.6,.364,0,0,0.0,1.1,0.0,0.0,0.0,2.0,3.1,0.0
George Ratkovicz,PF,27,SYR,62.0,0,0,2.6,7.1,.369,0,0,0,2.6,7.1,.369,.369,3.4,5.6,.606,0,0,0.0,2.0,0.0,0.0,0.0,3.2,8.6,0.0629
Arnie Risen*,C,25,ROC,62.0,0,0,3.3,9.6,.344,0,0,0,3.3,9.6,.344,.344,3.4,5.2,.664,0,0,0.0,1.5,0.0,0.0,0.0,3.7,10.1,0.0565
Bill Roberts,C,24,STB,67.0,0,0,1.1,3.3,.347,0,0,0,1.1,3.3,.347,.347,0.4,0.6,.718,0,0,0.0,0.4,0.0,0.0,0.0,1.3,2.7,0.01042
Red Rocha,C,26,STB,65.0,0,0,4.2,10.4,.405,0,0,0,4.2,10.4,.405,.405,3.4,4.8,.703,0,0,0.0,2.4,0.0,0.0,0.0,4.0,11.8,0.10144
Kenny Rollins,PG,26,CHS,66.0,0,0,2.2,6.4,.342,0,0,0,2.2,6.4,.342,.342,1.0,1.3,.742,0,0,0.0,2.0,0.0,0.0,0.0,2.0,5.4,0.0439
Ed Sadowski,C,32,TOT,69.0,0,0,4.3,13.4,.324,0,0,0,4.3,13.4,.324,.324,4.0,5.4,.735,0,0,0.0,2.0,0.0,0.0,0.0,3.5,12.6,0.05957
Ed Sadowski,C,32,PHW,17.0,0,0,2.8,9.0,.307,0,0,0,2.8,9.0,.307,.307,3.1,4.4,.693,0,0,0.0,2.3,0.0,0.0,0.0,3.7,8.6,0.0
Ed Sadowski,C,32,BLB,52.0,0,0,4.8,14.8,.328,0,0,0,4.8,14.8,.328,.328,4.3,5.7,.745,0,0,0.0,1.9,0.0,0.0,0.0,3.5,14.0,0.08655
Pep Saul,SG,25,ROC,49.0,0,0,1.5,3.7,.404,0,0,0,1.5,3.7,.404,.404,0.7,1.0,.723,0,0,0.0,0.6,0.0,0.0,0.0,0.7,3.7,0.03677
Milt Schoon,C,27,SHE,62.0,0,0,2.4,5.9,.410,0,0,0,2.4,5.9,.410,.410,3.2,4.8,.653,0,0,0.0,1.4,0.0,0.0,0.0,3.1,8.0,0.0693
Howie Schultz,PF,27,TOT,67.0,0,0,2.7,10.0,.267,0,0,0,2.7,10.0,.267,.267,2.9,4.2,.695,0,0,0.0,2.5,0.0,0.0,0.0,3.6,8.3,0.0328
Howie Schultz,PF,27,AND,35.0,0,0,2.4,9.0,.263,0,0,0,2.4,9.0,.263,.263,3.3,4.6,.731,0,0,0.0,2.5,0.0,0.0,0.0,3.6,8.1,0.07715
Howie Schultz,PF,27,FTW,32.0,0,0,3.0,11.1,.270,0,0,0,3.0,11.1,.270,.270,2.5,3.8,.648,0,0,0.0,2.5,0.0,0.0,0.0,3.7,8.5,0.04993
Fred Scolari,PG,27,WSC,66.0,0,0,4.7,13.8,.343,0,0,0,4.7,13.8,.343,.343,3.6,4.3,.822,0,0,0.0,2.7,0.0,0.0,0.0,2.7,13.0,0.0895
George Senesky,PG,27,PHW,68.0,0,0,3.3,10.4,.320,0,0,0,3.3,10.4,.320,.320,2.3,3.3,.704,0,0,0.0,3.9,0.0,0.0,0.0,2.4,9.0,0.0706
Belus Smawley,SG,31,STB,61.0,0,0,4.7,13.6,.345,0,0,0,4.7,13.6,.345,.345,4.3,5.1,.828,0,0,0.0,3.5,0.0,0.0,0.0,2.6,13.7,0.12286
Odie Spears,SF,25,CHS,68.0,0,0,4.1,11.4,.357,0,0,0,4.1,11.4,.357,.357,2.3,3.4,.687,0,0,0.0,2.3,0.0,0.0,0.0,3.7,10.5,0.0647
Brady Walker,PF,28,BOS,68.0,0,0,3.2,8.6,.374,0,0,0,3.2,8.6,.374,.374,1.1,1.7,.632,0,0,0.0,1.6,0.0,0.0,0.0,1.5,7.5,0.04556
Paul Walther,SG,22,TOT,53.0,0,0,2.2,5.5,.393,0,0,0,2.2,5.5,.393,.393,1.2,2.1,.578,0,0,0.0,1.1,0.0,0.0,0.0,2.3,5.5,0.04532
Paul Walther,SG,22,MNL,22.0,0,0,1.5,3.6,.400,0,0,0,1.5,3.6,.400,.400,0.5,1.0,.524,0,0,0.0,0.5,0.0,0.0,0.0,1.8,3.4,0.0
Paul Walther,SG,22,INO,31.0,0,0,2.6,6.8,.390,0,0,0,2.6,6.8,.390,.390,1.7,2.8,.591,0,0,0.0,1.5,0.0,0.0,0.0,2.7,7.0,0.1031
Max Zaslofsky,SG,24,CHS,68.0,0,0,5.8,16.6,.351,0,0,0,5.8,16.6,.351,.351,4.7,5.6,.843,0,0,0.0,2.3,0.0,0.0,0.0,2.7,16.4,0.103
